"operator","id"
"A.B.Tour And Travels",1
"A D T C Tour And Travels",2
"A One Travel Agency",3
"A.R.M.T Co.",4
"A R T Tours And Travels",5
"A R Travels",6
"A S Bus",7
"A V S Transport",8
"A Vinayak Travels",9
"A1  Arthi  Travels",10
"A1    Travels",11
"Aaa Travels",12
"Aadavan Travels (City Express)",13
"Aadesh Travels",14
"Aadi Raj Travels",15
"Aadithya Travels",16
"Aakash Roadlines Pvt Ltd",17
"Aakash Travels",18
"Aakash  Travels",19
"Aakka Tours And Travels",20
"Aarna Enterprise",21
"Aarna  Travel",22
"Aarna Travels",23
"Aashin Travels (Under Astc)",24
"Aashu Ruchi Travels",25
"Aayush Travels",26
"Ab Travels",27
"Abc Travels",28
"Abha Travels",29
"Abha Travels",30
"Abhimanyu Tours And Travels",31
"Abhimanyu Travels",32
"Abhinandan Travels",33
"Abhinav Tours And Travels",34
"Abhishek Travel",35
"Abhishek Travels",36
"Abhishek   Travels",37
"Abi And Abi Express",38
"Abi And Abi Express   Travels",39
"Abinaya Travels",40
"Aboli Tours And Travels Private Ltd",41
"Abp Airport Ride",42
"Abp Travels",43
"Abs Bus",44
"Abt Express",45
"Abtc Travels",46
"Abtc Tour And Travels",47
"Adinatheshwara Roadlines",48
"Aditya Buses",49
"Aditya Enterprises",50
"Aditya   Travels",51
"Adventure Booking Center",52
"Aeon   Connect",53
"Aeroline Tour And Travels",54
"Aeroline Travel",55
"Afshee Travels",56
"Ag Bus Services",57
"Aggarwal Travels",58
"Agni Veera Travels",59
"Agniputhra Transports",60
"Agr Travels",61
"Agra Travels",62
"Agrasar Travels",63
"Agrawal  Travels",64
"Ahil K.R.D  Travels",65
"Ahmed Travels",66
"Ahmed Tourist Hyd",67
"Ahmed Travel",68
"Air Bus Travels",69
"Air Indiaa Travels",70
"Airzone Travels India",71
"Aishwarya  Travels",72
"Aitiana Travels",73
"Ajara  Travels",74
"Ajay Raj Travel Agency",75
"Ajay Shreenath Travellers",76
"Ajay  Travels",77
"Ajay Travels Neemuch",78
"Ajith  Travels",79
"Ajna Travels",80
"Akanksha  Tourism",81
"Akanksha Travels",82
"Akash Travels",83
"Akash    Travels",84
"Akash Travels Agency",85
"Akash Travels Jalgaon",86
"Akbar   Travels",87
"Akbar Travels Mumbai",88
"Akbar Travels Of India Pvt. Ltd.",89
"Akshaya Travels",90
